URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,OfstedSpecialMeasures (code),OfstedSpecialMeasures (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),InspectorateName (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,QABName (code),QABName (name),EstablishmentAccredited (code),EstablishmentAccredited (name),QABReport,CHNumber,MSOA (code),LSOA (code),FSM,AccreditationExpiryDate
107816,"383","Leeds","2282","Great and Little Preston Junior School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","01","Result of Amalgamation/Merger","31-08-2005","2","Primary",7,11,"1","No boarders","No Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",175,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Preston Lane","Woodlesford","","Leeds","West Yorkshire","LS26 8AR","","","Mr","T S","Bean","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011401","Kippax & Methley","E14000689","Elmet and Rothwell","C1","(England/Wales) Urban city and town","E08000035",440405,429164,"Leeds 103","Leeds 103B","","","","","","999","","","","Lancashire and West Yorkshire","","72565961","","0","Not applicable","0","Not applicable","","","E02002432","E01011308","",""
107817,"383","Leeds","2283","Horsforth Featherbank Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",4,11,"1","No boarders","No Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",210,"2","No Special Classes","20-01-2022","210","99","111","11.00","0","Not applicable","","","Not applicable","","Not under a federation","","",10072561,"","Not applicable","06-02-2013","0","Not applicable","30-01-2023","Featherbank Avenue","Horsforth","","Leeds","West Yorkshire","LS18 4QP","www.featherbank.leeds.sch.uk","01132589412","Miss","Lorraine","Scudder","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011547","Horsforth","E14000886","Pudsey","A1","(England/Wales) Urban major conurbation","E08000035",423720,437486,"Leeds 027","Leeds 027B","","","","","","999","","","Outstanding","Lancashire and West Yorkshire","","72395932","","0","Not applicable","0","Not applicable","","","E02002356","E01011454","23",""
107818,"383","Leeds","2284","Blackgates Infant School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","01","Result of Amalgamation/Merger","31-08-2004","2","Primary",3,7,"1","No boarders","Has Nursery Classes","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",174,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Bradford Road","Tingley","","Wakefield","West Yorkshire","WF3 1QS","","","Mrs","M","Dockray","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011384","Ardsley & Robin Hood","E14000826","Morley and Outwood","A1","(England/Wales) Urban major conurbation","E08000035",428478,426043,"Leeds 106","Leeds 106E","","","","","","999","","","","Lancashire and West Yorkshire","","","","0","Not applicable","0","Not applicable","","","E02002435","E01011550","",""
107819,"383","Leeds","2285","Morley Elmfield Infant School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","01","Result of Amalgamation/Merger","31-08-2005","2","Primary",3,7,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",84,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Bridge Street","Morley","","Leeds","West Yorkshire","LS27 0EX","","","Ms","Rebecca","Ford","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011407","Morley South","E14000826","Morley and Outwood","A1","(England/Wales) Urban major conurbation","E08000035",426655,426916,"Leeds 104","Leeds 104B","","","","","","999","","","","Lancashire and West Yorkshire","","","","0","Not applicable","0","Not applicable","","","E02002433","E01011541","",""
107820,"383","Leeds","2286","Churwell Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",498,"2","No Special Classes","20-01-2022","461","223","238","8.70","0","Not applicable","","","Not applicable","","Not under a federation","","",10075614,"","Not applicable","12-02-2020","0","Not applicable","28-06-2023","Westwood Side","Churwell Morley","","Leeds","West Yorkshire","LS27 9HR","http://www.churwell.leeds.sch.uk","01132527437","Mrs","Rupa","Barson","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011406","Morley North","E14000826","Morley and Outwood","A1","(England/Wales) Urban major conurbation","E08000035",426717,429208,"Leeds 093","Leeds 093D","","","","","","999","","","Good","Lancashire and West Yorkshire","","72403739","","0","Not applicable","0","Not applicable","","","E02002422","E01011531","40",""
107821,"383","Leeds","2287","Cross Hall Infant School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","01","Result of Amalgamation/Merger","31-08-2005","2","Primary",3,7,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",164,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Fountain Street","Morley","","Leeds","West Yorkshire","LS27 0AW","","","Mrs","Annette","Edwards","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011407","Morley South","E14000826","Morley and Outwood","A1","(England/Wales) Urban major conurbation","E08000035",425776,427044,"Leeds 104","Leeds 104C","","","","","","999","","","","Lancashire and West Yorkshire","","72350532","","0","Not applicable","0","Not applicable","","","E02002433","E01011545","",""
107822,"383","Leeds","2288","Drighlington Junior School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","01","Result of Amalgamation/Merger","31-08-2004","2","Primary",7,11,"1","No boarders","Not applicable","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",240,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Whitehall Road","Drighlington","","Bradford","West Yorkshire","BD11 1LN","","","Miss","Tracy","Wallis","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011406","Morley North","E14000826","Morley and Outwood","A1","(England/Wales) Urban major conurbation","E08000035",422629,429152,"Leeds 096","Leeds 096B","","","","","","999","","","","Lancashire and West Yorkshire","","","","0","Not applicable","0","Not applicable","","","E02002425","E01011521","",""
107823,"383","Leeds","2292","Hill Top Primary School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","10","Academy Converter","31-05-2016","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",210,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","13-10-2015","0","Not applicable","29-11-2019","Batley Road","West Ardsley","","Wakefield","West Yorkshire","WF3 1HD","","","Mrs","Karen","Hyams","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011384","Ardsley & Robin Hood","E14000826","Morley and Outwood","C1","(England/Wales) Urban city and town","E08000035",427777,424453,"Leeds 108","Leeds 108B","","","","","","999","","","Good","Lancashire and West Yorkshire","","72675293","","0","Not applicable","0","Not applicable","","","E02002437","E01011536","",""
107824,"383","Leeds","2293","Seven Hills Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",420,"2","No Special Classes","20-01-2022","455","210","245","23.80","0","Not applicable","","","Not applicable","","Not under a federation","","",10075613,"","Not applicable","14-12-2017","0","Not applicable","26-05-2023","Appleby Way","Morley","","Leeds","West Yorkshire","LS27 8LA","www.sevenhillsmorley.org.uk/","01132527194","","Richard","Catherall","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011407","Morley South","E14000826","Morley and Outwood","A1","(England/Wales) Urban major conurbation","E08000035",426772,427937,"Leeds 102","Leeds 102F","","","","","","999","","","Good","Lancashire and West Yorkshire","","72408836","","0","Not applicable","0","Not applicable","","","E02002431","E01032489","101",""
107825,"383","Leeds","2297","Westerton Primary School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","10","Academy Converter","29-02-2016","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",630,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","28-01-2010","0","Not applicable","29-11-2019","Hesketh Lane","Tingley","","Wakefield","West Yorkshire","WF3 1AR","","","Mrs","S","Makin","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011407","Morley South","E14000826","Morley and Outwood","A1","(England/Wales) Urban major conurbation","E08000035",427877,425388,"Leeds 106","Leeds 106D","","","","","","999","","","Outstanding","Lancashire and West Yorkshire","","72567713","","0","Not applicable","0","Not applicable","","","E02002435","E01011548","",""
107826,"383","Leeds","2301","Calverley Parkside Primary School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","01-01-1900","06","For Academy","31-10-2018","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",210,"2","No Special Classes","18-01-2018","260","115","145","2.4","0","Not applicable","","","Not applicable","","Not under a federation","","",10075612,"","Not applicable","07-12-2017","0","Not applicable","29-11-2019","Victoria Street","Calverley","","Pudsey","West Yorkshire","LS28 5PQ","","","Mrs","Kerry","Wright","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011389","Calverley & Farsley","E14000886","Pudsey","A1","(England/Wales) Urban major conurbation","E08000035",420604,436898,"Leeds 039","Leeds 039B","","","","","","999","","","Serious Weaknesses","Lancashire and West Yorkshire","","72272749","","0","Not applicable","0","Not applicable","","","E02002368","E01011589","5",""
107827,"383","Leeds","2302","Westroyd Primary School and Nursery","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",262,"2","No Special Classes","20-01-2022","216","118","98","19.00","0","Not applicable","","","Not applicable","","Not under a federation","","",10075611,"","Not applicable","28-11-2019","0","Not applicable","18-07-2022","Frances Street","Farsley","Pudsey","Leeds","West Yorkshire","LS28 5BH","http://www.westroydprimaryschool.co.uk","01132551601","Mrs","Joanne","Ponton","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011389","Calverley & Farsley","E14000886","Pudsey","A1","(England/Wales) Urban major conurbation","E08000035",421701,434817,"Leeds 062","Leeds 062E","","","","","","999","","","Good","Lancashire and West Yorkshire","","72567519","","0","Not applicable","0","Not applicable","","","E02002391","E01011598","41",""
