SchoolCode,Phase,Type,School,AddressLine1,AddressLine2,AddressLine3,PostCode,X_REF,Y_REF,Telephone,Email,Website,Area,AgeRangeMinimum,AgeRangeMaximum,Catchment,Non-catchment,EHCP,Priority 1   ,Priority 2  ,Priority 3  ,Priority 4  ,Priority 5,Total Allocated / Places Available,Published Admission Number ,,
4061,Secondary,Academy,Leeds City Academy,Bedford Field,Woodhouse Cliff,Leeds,LS6 2LG,429161,435796,0113 284 4260,info@leedscityacademy.org.uk,www.leedscityacademy.org.uk ,NW,11,18,,,,,,,,,,,,
4000,Secondary,Academy,Leeds East Academy,South Parkway,Seacroft,Leeds,LS14 6TY,435573,435612,0113 273 1964,info@leedseastacademy.org.uk,http://www.leedseastacademy.org.uk,E,11,18,,,,,,,,,,,,
4066,Secondary,Academy,Leeds Jewish Free School,Wentworth Avenue,,Leeds,LS17 7TN,430181,439856,0113 269 3176,admin@ljfs.org,http://www.ljfs.org,NE,11,18,,,,,,,,,,,,
6906,Secondary,Academy,Leeds West Academy,Intake Lane,Rodley,Leeds,LS13 1DQ,422930,435410,0113 229 5454,info@leedswestacademy.org.uk,http://www.leedswestacademy.org.uk,W,11,18,,,,,,,,,,,,
4753,Secondary,Voluntary Aided,Mount St Mary’s Catholic High School,Ellerby Road,,Leeds,LS9 8LA,431264,433164,0113 245 5248,thehub@mountstmarys.org,http://www.mountstmarys.org,E,11,16,,,,,,,,,,,,
4079,Secondary,Academy,Oulton Academy ,Pennington Lane,Oulton,Leeds,LS26 8EX,435783,426896,0113 205 9559,info@roydsschool.org,http://www.roydsschool.org,S,11,18,,,,,,,,,,,,
4501,Secondary,Academy,Prince Henry’s Grammar School (Academy),Farnley Lane,Otley,Leeds,LS21 2BB,420205,446287,0194 346 3524,info@princehenrys.co.uk,http://www.princehenrys.co.uk,NW,11,18,,,,,,,,,,,,
4102,Secondary,Foundation,Pudsey Grammar School,Mount Pleasant Road,Pudsey,Leeds,LS28 7ND,422336,433739,0113 255 8277,contactus@pudseygrangefield.co.uk,http://www.pudseygrangefield.co.uk/,W,11,18,,,,,,,,,,,,
4062,Secondary,Academy,Ralph Thoresby School,Holt Dale Approach,,Leeds,LS16 7RX,425779,439865,0113 397 9911,headteacher@ralphthoresby.com,http://www.ralphthoresby.com,NW,11,18,,,,,,,,,,,,
4103,Secondary,Academy,Rodillian Academy,Longthorpe Lane,Lofthouse,Wakefield,WF3 3PS,432983,426059,0192 487 2252,contact@rodillianacademy.co.uk,http://www.therodillianacademy.co.uk,S,11,18,,,,,,,,,,,,
4063,Through School,Community,Roundhay School All-through education from 4 to 18,"Secondary Campus
Old Park Road
",,Leeds,LS8 1ND,4323140,4372650,0113 393 1200,secondary@roundhayschool.com,www.roundhayschool.org.uk,NE,4,18,1.054,,3,4,1,109,123,0,240,240,,
4601,Secondary,Academy,St Mary’s Menston Catholic Voluntary Academy,Bradford Road,,Leeds,LS29 6AE,418002,443071,0194 388 3000,admin@stmarysmenston.org,http://www.stmarysmenston.org/,NW,11,18,,,,,,,,,,,,
4068,Through School,Academy,Temple Learning Academy,Neville Road,Halton Moor,Leeds,LS15 0NW,434185,433368,0113 264 5456,info@tlacademy.org.uk,www.templelearningacademy.org,E,4,16,,,,,,,,,,,,
4046,Secondary,Foundation,Temple Moor High School,Field End Grove,Selby Road,Leeds,LS15 0PT,435583,433486,0113 390 0770,info@tmhs.co.uk,http://www.tmhs.co.uk,E,11,18,,,,,,,,,,,,
4026,Secondary,Academy,The Farnley Academy,Chapel Lane,,Leeds,LS12 5EU,425136,431969,0113 263 0741,info@farnley.leeds.sch.uk,http://www.farnley.leeds.sch.uk,W,11,18,,,,,,,,,,,,
4101,Secondary,Academy,The Morley Academy,Fountain Street,Morley,Leeds,LS27 0PD,425947,427447,0113 253 2952,info@morley.leeds.sch.uk,http://www.morley.leeds.sch.uk,S,11,18,,,,,,,,,,,,
4067,Secondary,Academy,Ruth Gorse Academy,"Black Bull Street
",,Leeds,LS10 1HW,430600,432810,0113 253 1600,info@ruthgorse.leeds.sch.uk,http://www.ruthgorse.leeds.sch.uk,S,11,19,,,,,,,,,,,,
4080,Secondary,Academy,Trinity Academy Leeds,Torre Road,Burmantofts,Leeds,LS9 7RD,432016,434004,0113 483 1126,contactus@leeds.trinitymat.org,https://leeds.trinitymat.org/,E,11,16,,,,,,,,,,,,
4111,Secondary,Foundation,Wetherby High School (Foundation),Hallfield Lane,Wetherby,Leeds,LS22 6JS,440756,448333,0193 752 2500,info@wetherbyhigh.co.uk ,www.wetherbyhigh.co.uk,NE,11,16,,,,,,,,,,,,
4105,Secondary,Academy,Woodkirk Academy,Rein Road, ,Tingley,WF3 1LQ,4274410,4259680,0113 887 3600,woodkirkreception@woodkirkacademy.com,www.woodkirkacademy.co.uk,S,11,18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Data as of 28/02/2024,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
